Ts,cvs_avg,err
200.0,2.3630190547698445e-5,2.294013419699173e-7
190.0,2.6184888776341527e-5,4.2747849809889906e-8
180.0,2.9122486865293835e-5,2.4179967029643107e-7
170.0,3.2674815635478495e-5,5.852049722101453e-7
160.0,3.7335763058374016e-5,5.606033206604925e-7
150.0,4.267260090142353e-5,6.206445969934887e-7
140.0,4.773619819797276e-5,2.446328923048938e-7
130.0,5.623903897225538e-5,3.6632386309683746e-7
120.0,6.5121317985998e-5,5.140395700716682e-7
110.0,7.725817583297229e-5,9.880569123882277e-7
100.0,9.038675530627892e-5,1.395646487438288e-6
90.0,0.00011058492160165112,2.538456798460713e-6
80.0,0.00013357686188189089,2.953430488790702e-6
70.0,0.0001698850287367013,1.8891237529372983e-6
60.0,0.00020519887879384596,8.325976797657815e-6
50.0,0.00024942295261725316,3.204036056907006e-6
40.0,0.0002845653343006519,1.102394468360315e-5
30.0,0.0002667539206843928,2.9334889448236706e-5
20.0,0.0001175059714227218,5.562699420183898e-5
10.0,5.721698036780132e-30,0.0
