Ts,cvs_avg,err
10.0,1.0004200445871965e-5,1.0715056088764314e-6
11.0,1.3646000846279682e-5,1.406328693792284e-6
12.0,1.8080831354108635e-5,1.7802650291678855e-6
13.0,2.3590225011739475e-5,2.227228226102261e-6
14.0,3.0466754506840973e-5,2.7984806016766372e-6
15.0,3.8953516018628236e-5,3.5464350120620515e-6
16.0,4.920084863899334e-5,4.50543404168226e-6
17.0,6.12437538553943e-5,5.6811270174182214e-6
18.0,7.499805126883644e-5,7.050571983948737e-6
19.0,9.027095986334342e-5,8.56787186589113e-6
20.0,0.00010678133639680139,1.0171141657878173e-5
21.0,0.00012418523837010186,1.1789407156394796e-5
22.0,0.0001421032220132269,1.3349157178588598e-5
23.0,0.0001601465763135084,1.478032733932374e-5
24.0,0.00017794045248018767,1.6021376913465348e-5
25.0,0.00019514255999542713,1.7023120468945416e-5
26.0,0.00021145675626705444,1.775109564591039e-5
27.0,0.00022664143473180532,1.818642576501628e-5
28.0,0.0002405130863571466,1.83253122851549e-5
29.0,0.00025294574714721896,1.8177427526709397e-5
30.0,0.000263867239694853,1.77635532647997e-5
31.0,0.00027325317855850516,1.7112824614108467e-5
32.0,0.00028111966125828346,1.6259902676781695e-5
33.0,0.0002875154418955239,1.5242331703294332e-5
34.0,0.0002925142173964052,1.409825570641132e-5
35.0,0.00029620747758435676,1.2864591049531482e-5
36.0,0.00029869820253851235,1.1575686036313322e-5
37.0,0.0003000955482597963,1.0262451690917397e-5
38.0,0.00030051055103878587,8.951922255986472e-6
39.0,0.00030005280263114073,7.667201737337755e-6
40.0,0.0002988279990441929,6.4277819583108514e-6
41.0,0.00029693624006370706,5.250306387183266e-6
42.0,0.00029447094867460585,4.150099523377769e-6
43.0,0.00029151828369545704,3.14453020035211e-6
44.0,0.00028815693057136185,2.2618302552349617e-6
45.0,0.00028445817072807335,1.567253973826688e-6
46.0,0.00028048614658444433,1.2159825399609845e-6
47.0,0.0002762982555396118,1.3375617946295481e-6
48.0,0.0002719456209848269,1.7437057003064938e-6
49.0,0.0002674736011409462,2.2218241347243412e-6
50.0,0.0002629223071461142,2.6891141685588956e-6
51.0,0.00025832711039040817,3.1188494840102597e-6
52.0,0.0002537191258158925,3.5028326339552933e-6
53.0,0.00024912566302936074,3.839656438909936e-6
54.0,0.00024457064088130343,4.130721966435301e-6
55.0,0.00024007496390495095,4.3786745913695325e-6
56.0,0.00023565686091227682,4.5867039965180845e-6
57.0,0.00023133218730480177,4.7581967121814814e-6
58.0,0.0002271146934369066,4.896550225561123e-6
59.0,0.00022301626179754602,5.005068866003715e-6
60.0,0.00021904711595416453,5.086904663085146e-6
61.0,0.00021521600420825585,5.14502464575937e-6
62.0,0.00021153036080409168,5.182194491987495e-6
63.0,0.00020799644735394429,5.200972643916543e-6
64.0,0.00020461947692598166,5.203711249846219e-6
65.0,0.0002014037230068963,5.19256157336954e-6
66.0,0.00019835261531530373,5.169482282352901e-6
67.0,0.00019546882421388277,5.1362495214154676e-6
68.0,0.00019275433525417873,5.094467997793684e-6
69.0,0.00019021051519138663,5.045582535127947e-6
70.0,0.00018783817062870858,4.990889708815139e-6
71.0,0.0001856376002923281,4.931549291585833e-6
72.0,0.00018360864179799318,4.868595322307512e-6
73.0,0.00018175071364755755,4.802946673398616e-6
74.0,0.0001800628530871818,4.735417038546711e-6
75.0,0.00017854375036667553,4.6667242968039086e-6
76.0,0.00017719177986016784,4.597499234492169e-6
77.0,0.00017600502844034583,4.528293624925124e-6
78.0,0.00017498132144053822,4.459587679304954e-6
79.0,0.00017411824648960557,4.391796891549093e-6
80.0,0.00017341317546276433,4.3252783061764e-6
81.0,0.00017286328475605336,4.260336242429301e-6
82.0,0.00017246557406223724,4.197227510134297e-6
83.0,0.00017221688380069408,4.136166153778849e-6
84.0,0.00017211391133255846,4.077327761290647e-6
85.0,0.0001721532260744856,4.0208533732665995e-6
86.0,0.0001723312836092981,3.966853027134942e-6
87.0,0.0001726444388790881,3.915408969082033e-6
88.0,0.00017308895853563295,3.866578564667827e-6
89.0,0.00017366103251393607,3.820396936973206e-6
90.0,0.00017435678488708216,3.7768793589516424e-6
91.0,0.00017517228405410632,3.7360234244546773e-6
92.0,0.00017610355230707284,3.6978110201991003e-6
93.0,0.00017714657481886657,3.6622101188103174e-6
94.0,0.00017829730808916565,3.6291764110192476e-6
95.0,0.00017955168788259538,3.5986547931395556e-6
96.0,0.0001809056366900576,3.5705807241421043e-6
97.0,0.0001823550707416024,3.544881464966172e-6
98.0,0.00018389590659691375,3.5214772111945644e-6
99.0,0.000185524067337446,3.5002821288671755e-6
100.0,0.0001872354883824291,3.481205301994017e-6
101.0,0.00018902612294936108,3.4641515993054707e-6
102.0,0.00019089194717811776,3.4490224668618568e-6
103.0,0.00019282896493650874,3.4357166523988782e-6
104.0,0.0001948332123238841,3.4241308666318136e-6
105.0,0.00019690076188829143,3.4141603862200227e-6
106.0,0.00019902772657166522,3.405699602644083e-6
107.0,0.0002012102633965778,3.398642520890634e-6
108.0,0.00020344457690721688,3.3928832115301083e-6
109.0,0.00020572692237643287,3.38831621952106e-6
110.0,0.00020805360878994522,3.3848369328627428e-6
111.0,0.00021042100161809145,3.3823419140129884e-6
112.0,0.00021282552538484897,3.3807291968307065e-6
